Unnamed: 0,GOODS_NM,goods_kor,Column1
S&N 알레빈(ALLEVYN Standard Non-adhesive)  ,2, 알레빈  ,  
석션팁 GENERAL SUCTION TIP,2,석션팁   ,  
몰덴정(니메술리드),2,몰덴정,덴정
페니움정,2,페니움정,움정
칼디쓰리정,2,칼디쓰리정,리정
펜믹스아제스틴정(병),2,펜믹스아제스틴정,틴정
레티잘정,2,레티잘정,잘정
부루펜정(이부프로펜)(병),2,부루펜정,펜정
시에스베리아 무릎보호대,2,시에스베리아 무릎보호대,호대
쎌렉탄정,2,쎌렉탄정,탄정
고려은단비타민씨골드플러스,2,고려은단비타민씨골드플러스,러스
발트렉스정(염산발라시클로버),2,발트렉스정,스정
멸균Y거즈,2,멸균거즈,거즈
공룡메카드 키즈비타 선풍기,2,공룡메카드 키즈비타 선풍기,풍기
티파미드정(염산티로프라미드),2,티파미드정,드정
넥실렌정,2,넥실렌정,렌정
뉴스크정,2,뉴스크정,크정
로보카폴리 토이멀티 비타D+(팬던트/폴리),2,로보카폴리 토이멀티 비타,비타
목면봉 (Wood Applicator Stick),2,목면봉 ,봉 
복합파자임이중정(PTP),2,복합파자임이중정,중정
엘리아겔(아다팔렌),2,엘리아겔,아겔
닥터레나 크림(천연 프로게스테론 크림/갱년기증후군완화),2,닥터레나 크림,크림
파우치(스텐딩)-난향,2,파우치난향,난향
현대세파클러캡슐,2,현대세파클러캡슐,캡슐
휴레바정(레바미피드),2,휴레바정,바정
비씨염산라니티딘정(PTP),2,비씨염산라니티딘정,딘정
[신제품]댕기머리 포르테 한방칼라크림(약국용-흑색7호),2,신제품댕기머리 포르테 한방칼라크림,크림
메피솔론정,2,메피솔론정,론정
에어페낙정,2,에어페낙정,낙정
클라낙CR정,2,클라낙정,낙정
"Medi Heally 허리온팩(예민한그날,허리부터 따뜻하게/8시간지속/허브훈증온팩)",2,  허리온팩,온팩
크레로스정,2,크레로스정,스정
일회용마스크(FACE 마스크/블루/걸이형),2,일회용마스크,스크
오페리손정,2,오페리손정,손정
월드로신캡슐(은교산),2,월드로신캡슐,캡슐
듀로셉톨캡슐,2,듀로셉톨캡슐,캡슐
비마르크정(에녹사신),2,비마르크정,크정
비오틴골드정,2,비오틴골드정,드정
란틴정(염산라니티딘),2,란틴정,틴정
(신포장)유한m 아이파워루테인 포르테(아스타잔틴함유),2,유한 아이파워루테인 포르테,르테
시타프렉스정,2,시타프렉스정,스정
투탑스플러스정,2,투탑스플러스정,스정
내츄럴라이즈 연어오일 오메가3,2,내츄럴라이즈 연어오일 오메가,메가
진황보,2,진황보,황보
카보필정,2,카보필정,필정
앰씰린캡슐,2,앰씰린캡슐,캡슐
가스몬정(병),2,가스몬정,몬정
니코스트정,2,니코스트정,트정
지스로맥스건조시럽(아지스로마이신),2,지스로맥스건조시럽,시럽
리포스타정(심바스타틴),2,리포스타정,타정
발미탄정,2,발미탄정,탄정
코스메트리 판테놀 피플러스 립밤(약국전용) 진열세트,2,코스메트리 판테놀 피플러스 립밤 진열세트,세트
아미클란듀오시럽,2,아미클란듀오시럽,시럽
안텔민(뽀),2,안텔민,텔민
미노씬캡슐(미노사이클린염산염),2,미노씬캡슐,캡슐
아트로세린캡슐50mg(병),2,아트로세린캡슐,캡슐
안티모딕정,2,안티모딕정,딕정
보령부스파정(염산부스피론),2,보령부스파정,파정
에젤란정(염산아젤라스틴),2,에젤란정,란정
KF80 더웰빙 현대황사마스크(대형/보건용) 백색 세트,2, 더웰빙 현대황사마스크 백색 세트,세트
오녹틴정,2,오녹틴정,틴정
헬로 카봇 더 키즈밴드(혼합형),2,헬로 카봇 더 키즈밴드,밴드
에날프릴정,2,에날프릴정,릴정
에취투정(시메티딘),2,에취투정,투정
듀오덤 플러스 엑스트라씬,2,듀오덤 플러스 엑스트라씬,라씬
클로마신정,2,클로마신정,신정
조피린장용정(설파살라진),2,조피린장용정,용정
한잘 발포비타민 칼슘+마그네슘+비타민D3(독일비타민판매1위/국내 최저나트륨 함량),2,한잘 발포비타민 칼슘마그네슘비타민,타민
뉴트라정,2,뉴트라정,라정
멜로시드캡슐,2,멜로시드캡슐,캡슐
파머스 코코아버터 스킨테라피오일(튼살/임산부 스트레치),2,파머스 코코아버터 스킨테라피오일,오일
케이그렐정,2,케이그렐정,렐정
뉴에스오프라정,2,뉴에스오프라정,라정
프리텐션플러스정,2,프리텐션플러스정,스정
다프라캡슐(란소프라졸),2,다프라캡슐,캡슐
싸이메트정,2,싸이메트정,트정
명인아픽사반정,2,명인아픽사반정,반정
아이천국 불빛귀이개,2,아이천국 불빛귀이개,이개
태극테르비나핀염산염정,2,태극테르비나핀염산염정,염정
퍼킨 씨알 정,2,퍼킨 씨알 정, 정
모아칼연질캡슐,2,모아칼연질캡슐,캡슐
삼성 슬림 외장 HDD 2TB HX-MK20Y19 블랙,2,삼성 슬림 외장    블랙,블랙
림포란,2,림포란,포란
3M납품사 원에이드 숨쉬는투명방수밴드세트 표준형,2,납품사 원에이드 숨쉬는투명방수밴드세트 표준형,준형
프리텍 황사마스크 입체형삼각 (KF-80),2,프리텍 황사마스크 입체형삼각 ,각 
파존정,2,파존정,존정
음이온발미인 덧버선(보습양말/빨강),2,음이온발미인 덧버선,버선
아이레인점안액,2,아이레인점안액,안액
트라플엠세미정,2,트라플엠세미정,미정
앤티보이스정,2,앤티보이스정,스정
기화시호계지탕엑스과립,2,기화시호계지탕엑스과립,과립
긴마개말랑이(곰돌이)분홍,2,긴마개말랑이분홍,분홍
이부펜정(병),2,이부펜정,펜정
NEW 카봇 더밴드 키즈밴드(혼합형),2, 카봇 더밴드 키즈밴드,밴드
디카듀오정100/1000,2,디카듀오정,오정
멕시롱액,2,멕시롱액,롱액
기능성 은나노방한대(청색),2,기능성 은나노방한대,한대
라이트모사정,2,라이트모사정,사정
호올스(홀스-체리),2,호올스,올스
굿필링액 여성청결제,2,굿필링액 여성청결제,결제
이카졸정(이트라코나졸고체분산체),2,이카졸정,졸정
싸이타민플러스정,2,싸이타민플러스정,스정
바이오탑하이캡슐,2,바이오탑하이캡슐,캡슐
덴탈마스터 치간칫솔(I자형) 2호Ⅱ,2,덴탈마스터 치간칫솔 호, 호
안면베개(디이),2,안면베개,베개
티로스타정(염산티로프라미드),2,티로스타정,타정
아세타돌정,2,아세타돌정,돌정
크린벨 손소독제 (손세정제) 알콜62%,2,크린벨 손소독제  알콜,알콜
마데카솔분말,2,마데카솔분말,분말
일회용비닐가운,2,일회용비닐가운,가운
5일 일회용 부직포 방한대,2,일 일회용 부직포 방한대,한대
비프로베린정(염산프로피베린),2,비프로베린정,린정
원적외선 로얄방한대(기능성 입체방한대/검정),2,원적외선 로얄방한대,한대
퓨어면봉(원형/솜100%/양면헤드/無형광증백제) ,2,퓨어면봉 ,봉 
래피젠 개 파보 안티젠 테스트(파보.진단키트),2,래피젠 개 파보 안티젠 테스트,스트
조이렉스정,2,조이렉스정,스정
의료기관 목보호대/목디스크/목지지대/목깁스,2,의료기관 목보호대목디스크목지지대목깁스,깁스
메디터치/일동제약,2,메디터치일동제약,제약
세라진에스캡슐,2,세라진에스캡슐,캡슐
디즈니 미키마우스 키즈방한대(아동/이미지랜덤),2,디즈니 미키마우스 키즈방한대,한대
알지드액,2,알지드액,드액
[새부리형/KF80]크리넥스 데일리 입체형 방역마스크(소형/화이트),2,새부리형크리넥스 데일리 입체형 방역마스크,스크
바넥신정,2,바넥신정,신정
자연나라 물티슈 ,2,자연나라 물티슈 ,슈 
마더스아스피린장용정,2,마더스아스피린장용정,용정
귀체온계 (Ear Thermometer),2,귀체온계 ,계 
신나겐에스과립,2,신나겐에스과립,과립
라베트정(PTP),2,라베트정,트정
대지 황사미세방역마스크KF94 성인용(백색) 세트,2,대지 황사미세방역마스크 성인용 세트,세트
휴안청 황사방역 마스크KF94(블랙/대형),2,휴안청 황사방역 마스크,스크
시지리알로인젝트(CGReallo Inject),2,시지리알로인젝트,젝트
피타바정,2,피타바정,바정
웰빙황사 허브아로 입체마스크 KF80 (청색/L),2,웰빙황사 허브아로 입체마스크  ,  
도네질정,2,도네질정,질정
트레논연질캡슐,2,트레논연질캡슐,캡슐
홈세이프 골드(성인용팬티기저귀),2,홈세이프 골드,골드
니베아 데오드란트 스프레이 - 드라이콤포트(48시간/2015년형),2,니베아 데오드란트 스프레이  드라이콤포트,포트
이케어 일회용 덴탈마스크(검정색),2,이케어 일회용 덴탈마스크,스크
이브듀오시럽(이부프로펜),2,이브듀오시럽,시럽
상공 구급함,2,상공 구급함,급함
멀티블루5주,2,멀티블루주,루주
플라콘 울트라 교정용칫솔,2,플라콘 울트라 교정용칫솔,칫솔
포타딘액(포비돈요오드),2,포타딘액,딘액
원베롤정(카르베딜롤),2,원베롤정,롤정
리메트폴정,2,리메트폴정,폴정
메피릴정(글리메피리드),2,메피릴정,릴정
비담 숯 칫솔,2,비담 숯 칫솔,칫솔
동광에날라프릴정,2,동광에날라프릴정,릴정
투렌정(인산벤프로페린),2,투렌정,렌정
식물성 필수지방산 리놀렌산(오메가-3 지방산),2,식물성 필수지방산 리놀렌산,렌산
위메졸정,2,위메졸정,졸정
써모첵 비접촉식 이마형 적외선 체온계 DT-060,2,써모첵 비접촉식 이마형 적외선 체온계 ,계 
에프킬라 캔모기향,2,에프킬라 캔모기향,기향
알시젠연질캡슐,2,알시젠연질캡슐,캡슐
고려6년근 홍삼농축액,2,고려년근 홍삼농축액,축액
휴리손정,2,휴리손정,손정
올레아 프로바이오틱스,2,올레아 프로바이오틱스,틱스
[기획증정]밴드닥터 16통 + 청정원선물세트,2,기획증정밴드닥터 통  청정원선물세트,세트
낙센정,2,낙센정,센정
아루텍정(염산세티리진),2,아루텍정,텍정
레빈튜브(Levin Tube) ,2,레빈튜브 ,브 
닥터크린 마스크(성인용/청색),2,닥터크린 마스크,스크
키네시오테이프(살색),2,키네시오테이프,이프
콕스2캡슐,2,콕스캡슐,캡슐
모사로에스알서방정(병),2,모사로에스알서방정,방정
이트콘졸캡슐(병),2,이트콘졸캡슐,캡슐
케프렙톨서방정,2,케프렙톨서방정,방정
드로니즈정,2,드로니즈정,즈정
카로나제정,2,카로나제정,제정
폴리카테터 - 더블세이프,2,폴리카테터  더블세이프,이프
한신마로이신캡슐(PTP),2,한신마로이신캡슐,캡슐
쫑 모기향,2,쫑 모기향,기향
사폴서방정,2,사폴서방정,방정
네이처스탑 바이탈조인트,2,네이처스탑 바이탈조인트,인트
아크네스 모이스처로션,2,아크네스 모이스처로션,로션
곰돌이 스마일 입체방한대(백색),2,곰돌이 스마일 입체방한대,한대
알셉트정,2,알셉트정,트정
시네메트씨알정,2,시네메트씨알정,알정
아넥신정(병),2,아넥신정,신정
엑스닌,2,엑스닌,스닌
안트롬,2,안트롬,트롬
지엘 메디칼복대 3단(GL-501),2,지엘 메디칼복대 단, 단
스마트웰 수면안대[고급형],2,스마트웰 수면안대고급형,급형
당귀수산엑스과립,2,당귀수산엑스과립,과립
리피로우정,2,리피로우정,우정
세란트정(세프프로질),2,세란트정,트정
비멸균글러브 니트릴 S,2,비멸균글러브 니트릴 ,릴 
하모닐란액,2,하모닐란액,란액
러츠날캡슐(염산탐스로신),2,러츠날캡슐,캡슐
멜릭스캡슐(멜록시캄),2,멜릭스캡슐,캡슐
텔카딘정(PTP),2,텔카딘정,딘정
이소티나연질캡슐(이소트레티노인),2,이소티나연질캡슐,캡슐
녹십초 식염포도당 ,2,녹십초 식염포도당 ,당 
셀트리온파모티딘정,2,셀트리온파모티딘정,딘정
페노코린캡슐,2,페노코린캡슐,캡슐
칼러제정(병),2,칼러제정,제정
에스키모 필터플러스 방한대(청색),2,에스키모 필터플러스 방한대,한대
일회용필터주사기(FilterSyringe)-유리가루여과침포함,2,일회용필터주사기유리가루여과침포함,포함
텔미정,2,텔미정,미정
뉴라벨정(PTP),2,뉴라벨정,벨정
넥포정,2,넥포정,포정
[새부리형/KF-AD]숨쉬기 편한 비말차단 슈어마스크(국산/대형/백색),2,새부리형숨쉬기 편한 비말차단 슈어마스크,스크
이텍스세픽심캡슐,2,이텍스세픽심캡슐,캡슐
세븐플러스 일회용 부직포 마스크(백색/7+1매기획상품),2,세븐플러스 일회용 부직포 마스크,스크
모비록캄캡슐,2,모비록캄캡슐,캡슐
플루칸캡슐,2,플루칸캡슐,캡슐
[깜짝선물]부광 시린메드 칫솔,2,깜짝선물부광 시린메드 칫솔,칫솔
스푸키즈 닥터그립 교정용스텐젓가락,2,스푸키즈 닥터그립 교정용스텐젓가락,가락
기능성 활성탄 입체방한대(흑색) ,2,기능성 활성탄 입체방한대 ,대 
카민산정(병),2,카민산정,산정
골드지침기 (TC Mayo Needle Holder),2,골드지침기 ,기 
유글렉스정,2,유글렉스정,스정
치옥트에이치알정(치옥트산),2,치옥트에이치알정,알정
삼성 AKG N400 블루투스 이어폰 AKGN400SIL,2,삼성   블루투스 이어폰 ,폰 
유스메졸캡슐,2,유스메졸캡슐,캡슐
싸이러스정(병),2,싸이러스정,스정
실레탈서방캡슐(병),2,실레탈서방캡슐,캡슐
씨프록탄100T,2,씨프록탄,록탄
엑스펙토시럽2%,2,엑스펙토시럽,시럽
클린32 왁스치실,2,클린 왁스치실,치실
픽토스정(염산피오글리타존),2,픽토스정,스정
삼진 웰빙 일회용 부직포 마스크(성인),2,삼진 웰빙 일회용 부직포 마스크,스크
트리돌서방정(염산트라마돌),2,트리돌서방정,방정
암피베실정,2,암피베실정,실정
발목보호대(Band),2,발목보호대,호대
코코 매직포인트 통증패치(근육통완화/의료용 자기발생기),2,코코 매직포인트 통증패치,패치
알러리스정,2,알러리스정,스정
우드램프,2,우드램프,램프
홈세이프 순면방한대(청색)순면마스크,2,홈세이프 순면방한대순면마스크,스크
뉴로패시드OD정,2,뉴로패시드정,드정
모스제트 스프레이(모기 털진드기 기피제),2,모스제트 스프레이,레이
라베넥스정(라베프라졸나트륨),2,라베넥스정,스정
트리코트크림0.1%(트리암시놀론아세토니드),2,트리코트크림,크림
동아 멸균거즈,2,동아 멸균거즈,거즈
6년근 고려홍삼 홍선생 골드(쇼핑백),2,년근 고려홍삼 홍선생 골드,골드
이디올 투엑스 정,2,이디올 투엑스 정, 정
노코틴정,2,노코틴정,틴정
앵그리버드 리틀칫솔(1세~4세),2,앵그리버드 리틀칫솔,칫솔
타록시드정(오플록사신),2,타록시드정,드정
텔미원정(텔미사르탄),2,텔미원정,원정
엘로수바정(병),2,엘로수바정,바정
종근당 N-아세틸 글루코사민,2,종근당 아세틸 글루코사민,사민
시알롱기구강용해필름(포),2,시알롱기구강용해필름,필름
유포타민정,2,유포타민정,민정
테가덤(투명방수비닐접착패드) 1628W,2,테가덤 ,덤 
지로디핀지속정(펠로디핀),2,지로디핀지속정,속정
이지듀EX 리페어컨트롤 젤 드레싱 마스크 세트(5EA),2,이지듀 리페어컨트롤 젤 드레싱 마스크 세트,세트
에스클러캡슐(병),2,에스클러캡슐,캡슐
터닝메카드 음료(사과&배/홍삼)피규어,2,터닝메카드 음료피규어,규어
리카뉴로서방정,2,리카뉴로서방정,방정
무조날정,2,무조날정,날정
애견간식 트릿하우스 오리껌,2,애견간식 트릿하우스 오리껌,리껌
로이칼연질캡슐,2,로이칼연질캡슐,캡슐
파비스 라베프라졸 정,2,파비스 라베프라졸 정, 정
아세롬정,2,아세롬정,롬정
디펜드 속기저귀 라운드형 일반 대형,2,디펜드 속기저귀 라운드형 일반 대형,대형
깔창형 발열 핫팩 ,2,깔창형 발열 핫팩 ,팩 
한스 일회용 수술용마스크(블랙/낱개포장),2,한스 일회용 수술용마스크,스크
소독테이프,2,소독테이프,이프
액소도스정,2,액소도스정,스정
레보트라정,2,레보트라정,라정
녹십자MS썸머스프레이모기기피제 에코넷액(의약외품),2,녹십자썸머스프레이모기기피제 에코넷액,넷액
브라운 텍스스타일5 스팀다리미 TS505,2,브라운 텍스스타일 스팀다리미 ,미 
글루스탑정(병),2,글루스탑정,탑정
록시맥스정,2,록시맥스정,스정
부직반창고/픽싱롤 (Fixing Roll) 2764,2,부직반창고픽싱롤  ,  
크린세프캡슐,2,크린세프캡슐,캡슐
현대 항균순면방한대(백색),2,현대 항균순면방한대,한대
바이트라정,2,바이트라정,라정
아세트엠8시간이알서방정(병),2,아세트엠시간이알서방정,방정
이지듀EX 리페어컨트롤 리뉴얼 모이스쳐 ,2,이지듀 리페어컨트롤 리뉴얼 모이스쳐 ,쳐 
[깜짝선물] 뉴케어 구수한맛 미니,2,깜짝선물 뉴케어 구수한맛 미니,미니
베포리온정,2,베포리온정,온정
아이리스가위(RIBBON IRIS SCISSOR) STR. BLADE,2,아이리스가위  ,  
이소켓스프레이(이소소르비드질산염),2,이소켓스프레이,레이
스포이드 무독성 ,2,스포이드 무독성 ,성 
한삼수 고려6년근 홍삼정365(쇼핑백포함),2,한삼수 고려년근 홍삼정,삼정
가나텍정(병),2,가나텍정,텍정
"오가넥스 KF94 미세먼지 황사 마스크(국내산/유기농100%, 순면안감적용)",2,오가넥스  미세먼지 황사 마스크,스크
록프로펜정(록소프로펜나트륨),2,록프로펜정,펜정
방귀대장뿡뿡이 패밀리퍼레이드(가방형/복숭아맛),2,방귀대장뿡뿡이 패밀리퍼레이드,이드
지나딘캡슐,2,지나딘캡슐,캡슐
펩타졸정(판토프라졸나트륨세스키히드레이트),2,펩타졸정,졸정
써지넷(Surginet)탄력밴드/망사붕대(4호),2,써지넷탄력밴드망사붕대,붕대
로나임정(글리메피리드),2,로나임정,임정
한삼인 기력보환,2,한삼인 기력보환,보환
씨토스정,2,씨토스정,스정
티로메드정(염산티로프라미드),2,티로메드정,드정
화이트렌정,2,화이트렌정,렌정
모가톤정(염산이토프리드)(PTP),2,모가톤정,톤정
게스트란정,2,게스트란정,란정
중외염산에페리손정,2,중외염산에페리손정,손정
성인 레저용 입체방한대(핑크),2,성인 레저용 입체방한대,한대
서울 순면 방한대(백색),2,서울 순면 방한대,한대
라바 열냉각시트(10시간지속),2,라바 열냉각시트,시트
웨트러스트 이너감 멀티케어 에센스젤,2,웨트러스트 이너감 멀티케어 에센스젤,스젤
네오투스서방정 ,2,네오투스서방정 ,정 
메로셀 (Merocel) - 서지칼스폰지,2,메로셀   서지칼스폰지,폰지
테나빈정(염산테르비나핀),2,테나빈정,빈정
루크 참숯코팩,2,루크 참숯코팩,코팩
어린이부루펜시럽(이부프로펜),2,어린이부루펜시럽,시럽
디클로플렉스플라스타,2,디클로플렉스플라스타,스타
에렉신정,2,에렉신정,신정
뉴페리손정(병),2,뉴페리손정,손정
베아로탄정100밀리그램(로사르탄칼륨),2,베아로탄정밀리그램,그램
휴온스펜톡시필린주사,2,휴온스펜톡시필린주사,주사
클래비트정,2,클래비트정,트정
씨트리카캡슐(병),2,씨트리카캡슐,캡슐
듀오덤 엑스트라씬,2,듀오덤 엑스트라씬,라씬
비디 울트라파인Ⅲ 펜니들,2,비디 울트라파인 펜니들,니들
미오벤정(아플로쿠알론),2,미오벤정,벤정
디앤비 뒷꿈치 패드 [56번],2,디앤비 뒷꿈치 패드 번, 번
듀오메디정,2,듀오메디정,디정
홈세이프 마스크 일회용 부직포 방한대 (검정색),2,홈세이프 마스크 일회용 부직포 방한대 ,대 
리포티민에이취알정,2,리포티민에이취알정,알정
로자틴정(병),2,로자틴정,틴정
메모코드정,2,메모코드정,드정
트리비스정,2,트리비스정,스정
이지심바정,2,이지심바정,바정
코스모스 순면봉(사각/국산),2,코스모스 순면봉,면봉
엔카비어정,2,엔카비어정,어정
네보락신정(레보플록사신),2,네보락신정,신정
머슬린액,2,머슬린액,린액
앤디락생캡슐,2,앤디락생캡슐,캡슐
라큐아점안액(히알우론산나트륨),2,라큐아점안액,안액
코비스정,2,코비스정,스정
베시큐정,2,베시큐정,큐정
Spirit 혈압계용 커프(고급형),2, 혈압계용 커프,커프
"하나케어 손목,손바닥보호대",2,하나케어 손목손바닥보호대,호대
티로엠정(염산티로프라미드),2,티로엠정,엠정
다이보넥스액,2,다이보넥스액,스액
솔리프정,2,솔리프정,프정
라발레 허브캔디(멘톨-유칼립투스),2,라발레 허브캔디,캔디
앤지비드서방정(질산이소소르비드),2,앤지비드서방정,방정
리포젯정,2,리포젯정,젯정
공포(주문제작) 2겹 ,2,공포 겹 ,겹 
아이클키즈 오메가 꾸미 60,2,아이클키즈 오메가 꾸미 ,미 
써지넷(Surginet)탄력밴드/망사붕대(7호),2,써지넷탄력밴드망사붕대,붕대
프로록소펜 정,2,프로록소펜 정, 정
휴안청 황사방역 마스크KF94(와인/대형),2,휴안청 황사방역 마스크,스크
타노셋 정,2,타노셋 정, 정
노즈케어점비액,2,노즈케어점비액,비액
이지듀RX 포스트레이저 에센스토너,2,이지듀 포스트레이저 에센스토너,토너
현대레보세티리진염산염정,2,현대레보세티리진염산염정,염정
글루코닥터 플러스 혈당측정지,2,글루코닥터 플러스 혈당측정지,정지
오랄비 교정용 칫솔,2,오랄비 교정용 칫솔,칫솔
에바드린캡슐,2,에바드린캡슐,캡슐
유기농본 유기농 화장솜 원형,2,유기농본 유기농 화장솜 원형,원형
올로디핀에이치씨티정,2,올로디핀에이치씨티정,티정
록시스린정(록시스로마이신),2,록시스린정,린정
비포터정,2,비포터정,터정
인티진정(병),2,인티진정,진정
지젤리뉴 유니버셜 1cc*2EA-DNC,2,지젤리뉴 유니버셜 ,셜 
디펜드 속기저귀 일자형 일반 27302,2,디펜드 속기저귀 일자형 일반 ,반 
옥산플라콘 I자형치간칫솔 (+휴대용케이스),2,옥산플라콘 자형치간칫솔 ,솔 
메부톤정(나부메톤),2,메부톤정,톤정
텔미카르정,2,텔미카르정,르정
가나톤정(염산이토프리드),2,가나톤정,톤정
진고그린,2,진고그린,그린
후나졸캡슐(플루코나졸),2,후나졸캡슐,캡슐
그린 백색 바세린 ,2,그린 백색 바세린 ,린 
유칼린정(병),2,유칼린정,린정
성광 에어파스-쿨,2,성광 에어파스쿨,스쿨
알렙틴정,2,알렙틴정,틴정
[1+1] NEW 비듬 탈모 3배강화 어성초 골드플러스 샴푸 500ml,2,  비듬 탈모 배강화 어성초 골드플러스 샴푸 ,푸 
안국실로스타졸정,2,안국실로스타졸정,졸정
소마덤스팟 하이드로밴드,2,소마덤스팟 하이드로밴드,밴드
옥티늄정(병),2,옥티늄정,늄정
다이보스정(보글리보스),2,다이보스정,스정
래피셋정,2,래피셋정,셋정
아트라셋세미정(병),2,아트라셋세미정,미정
프린캡슐,2,프린캡슐,캡슐
레보스피드정(레보설피리드),2,레보스피드정,드정
레바미핀정(레바미피드),2,레바미핀정,핀정
씨록사신정,2,씨록사신정,신정
홈세이프 파라캅S에스정(소형용/개.고양이)종합구충제/조제.소분판매,2,홈세이프 파라캅에스정종합구충제조제소분판매,판매
루키오츄정,2,루키오츄정,츄정
드레싱밴드(L),2,드레싱밴드,밴드
아목클란시럽,2,아목클란시럽,시럽
멸균글러브 Shamrock (Sterile Poweder free) S,2,멸균글러브   ,  
유성진 멸균가아제(중) 멸균거즈,2,유성진 멸균가아제 멸균거즈,거즈
메디힐 콜라겐 임팩트 에센셜 마스크팩(피부에너지/활력공급),2,메디힐 콜라겐 임팩트 에센셜 마스크팩,크팩
제이록시정,2,제이록시정,시정
소프트콘돔 프리미엄(초박형) 10000 진열세트,2,소프트콘돔 프리미엄  진열세트,세트
텔사탄정(텔미사르탄),2,텔사탄정,탄정
산들로액(이카리딘/모기/진드기 기피제),2,산들로액,로액
래피젠 바이오크레디트 니코틴테스트(금연진단키트),2,래피젠 바이오크레디트 니코틴테스트,스트
하이테크 명반,2,하이테크 명반,명반
밴드골드 쿨밴드(완전방수/혼합형),2,밴드골드 쿨밴드,밴드
니메리드정(니메술리드),2,니메리드정,드정
삼성 24인치 커브드 모니터 LC24F392FHKXKR,2,삼성 인치 커브드 모니터 ,터 
탐소신서방정,2,탐소신서방정,방정
애경 샤워메이트 말랑카우 버블 핸드워시(화이트우유향),2,애경 샤워메이트 말랑카우 버블 핸드워시,워시
내츄럴플러스 감마리놀렌산 달맞이꽃종자유,2,내츄럴플러스 감마리놀렌산 달맞이꽃종자유,자유
에페릴엠정,2,에페릴엠정,엠정
비해피 러브젤(수용성젤),2,비해피 러브젤,브젤
데타손연고0.25%(데속시메타손),2,데타손연고,연고
"2021 NEW 포스니세트2 [코팅포셉10(대장),스네어1(15mm),니들1]",2,  포스니세트 코팅포셉스네어니들,니들
넥스틸정,2,넥스틸정,틸정
세렉캡슐,2,세렉캡슐,캡슐
아세클라정(아세클로페낙),2,아세클라정,라정
쎄팍심캡슐(병),2,쎄팍심캡슐,캡슐
메디프로텍픽싱롤(대),2,메디프로텍픽싱롤,싱롤
코디프로시럽,2,코디프로시럽,시럽
토바스트정,2,토바스트정,트정
이지듀RX 센시티브 베리어 인텐시브,2,이지듀 센시티브 베리어 인텐시브,시브
그라시아정,2,그라시아정,아정
발사렉스,2,발사렉스,렉스
세파딜캡슐(세파드록실),2,세파딜캡슐,캡슐
미라펙스서방정(PTP),2,미라펙스서방정,방정
트리시브정,2,트리시브정,브정
라니티드정(염산라니티딘),2,라니티드정,드정
유니온탈니플루메이트정,2,유니온탈니플루메이트정,트정
세토리드정,2,세토리드정,드정
한풍삼소음엑스과립,2,한풍삼소음엑스과립,과립
3M납품사 원에이드 드레싱밴드세트 소형,2,납품사 원에이드 드레싱밴드세트 소형,소형
데일리케어 낱말놀이 물티슈(아기물티슈/랜덤발송) 캡형 ,2,데일리케어 낱말놀이 물티슈 캡형 ,형 
베리온정,2,베리온정,온정
바로필정(PTP),2,바로필정,필정
싸이토텍정(미소프로스톨),2,싸이토텍정,텍정
소폐탕액(콧물감기),2,소폐탕액,탕액
레인트정,2,레인트정,트정
펜키니정(염산펜터민),2,펜키니정,니정
웰팜스 테이프(근육통증완화),2,웰팜스 테이프,이프
제일파프 쿨(카타플라스마/파스),2,제일파프 쿨, 쿨
박트로반연고(무피로신),2,박트로반연고,연고
메네스에스정,2,메네스에스정,스정
옐로 하나 일회용 주사기형 여성 청결제,2,옐로 하나 일회용 주사기형 여성 청결제,결제
글리메디정4mg(글리메피리드),2,글리메디정,디정
자누메트엑스알서방정50/1000밀리그램,2,자누메트엑스알서방정밀리그램,그램
나무졸정(염산테르비나핀),2,나무졸정,졸정
테라모핀정,2,테라모핀정,핀정
움카바정,2,움카바정,바정
뉴틸렌정,2,뉴틸렌정,렌정
닥터필 짱짱한허리 보호대(남/여공용),2,닥터필 짱짱한허리 보호대,호대
멜린씨정,2,멜린씨정,씨정
크리넥스 KF80 황사마스크 대형 NEW 디자인플러스(황사 및 미세먼지 차단),2,크리넥스  황사마스크 대형  디자인플러스,러스
디잔틴정,2,디잔틴정,틴정
가스트릭캡슐(록사티딘아세테이트염산염),2,가스트릭캡슐,캡슐
신신제약 면반창고(중),2,신신제약 면반창고,창고
글리밀정(글리메피리드),2,글리밀정,밀정
돔페리만정(말레인산돔페리돈),2,돔페리만정,만정
미래다용도 핀셋(고급형) I자,2,미래다용도 핀셋 자, 자
[깜짝선물] 테크노 웹 나노필터 3중구조 부직포황사마스크KF80,2,깜짝선물 테크노 웹 나노필터 중구조 부직포황사마스크,스크
밴드골드 밴드포어(살색 종이반창고),2,밴드골드 밴드포어,포어
치오신정,2,치오신정,신정
치오큐정(치옥트산),2,치오큐정,큐정
글리원정,2,글리원정,원정
종이반창고&자동커트기,2,종이반창고자동커트기,트기
펜믹스가바펜틴캡슐,2,펜믹스가바펜틴캡슐,캡슐
"가다실프리필드시린지(인유두종바이러스,자궁경부암/백신)9가/10관",2,가다실프리필드시린지가관,가관
레바코드정(레바미피드),2,레바코드정,드정
휴니즈로사르탄칼륨정,2,휴니즈로사르탄칼륨정,륨정
밴드랜드 메디프로텍(드레싱 일반2종),2,밴드랜드 메디프로텍,로텍
