Unnamed: 0,GOODS_NM,goods_kor,Column1
과산화수소 (H2 O2),10,과산화수소 ,소 
손목보호대(WristBand),9,손목보호대,호대
팔걸이 (Arm Sling),9,팔걸이 ,이 
메디폼,9,메디폼,디폼
디앤비 테니스 엘보밴드(PVC),9,디앤비 테니스 엘보밴드,밴드
타가메트정,9,타가메트정,트정
레프록신정,9,레프록신정,신정
에치본드 (Ethibond),9,에치본드 ,드 
정맥카테타 (IV Angio Plus Catheter),9,정맥카테타 ,타 
블랙나이론봉합사 (Black Roll Nylon),9,블랙나이론봉합사 ,사 
정관장 홍삼원,9,정관장 홍삼원,삼원
연고곽(노랑),9,연고곽,고곽
글루코다운OR서방정,9,글루코다운서방정,방정
드레싱밴드 (Superpore),9,드레싱밴드 ,드 
일회용질경 (DISPOSABLE VAGINAL SPECULUM),9,일회용질경 ,경 
드레싱밴드 (Medix),9,드레싱밴드 ,드 
란셋침(Lancets),9,란셋침,셋침
디앤비 손목보호대(에어매쉬),9,디앤비 손목보호대,호대
알지셀액,9,알지셀액,셀액
쓰리웨이연결줄 (3-Way Extension),9,쓰리웨이연결줄 ,줄 
모노피트-S Monofit-S,9,모노피트 ,트 
봉합침 (Suture Needles) - 외과용직침,9,봉합침   외과용직침,직침
발사가위(직),9,발사가위,가위
명인할로페리돌정,9,명인할로페리돌정,돌정
농반 (Emesis Basin),9,농반 ,반 
컵마개 투약병,9,컵마개 투약병,약병
염화벤잘코늄 (Benzal konium Chloride),9,염화벤잘코늄 ,늄 
석션카테타 (Suction Catheter) - LATEX,9,석션카테타   ,  
모아랩밴드 (Injection Care Band),9,모아랩밴드 ,드 
옥사제핀정,9,옥사제핀정,핀정
디앤비 발목보호대,9,디앤비 발목보호대,호대
루어락주사기(Luer-LokSyringe),9,루어락주사기,사기
폴리글러브 (D/Poly Glove),9,폴리글러브 ,브 
망붕대 (Surginet),9,망붕대 ,대 
Maxon 맥션 흡수성,9, 맥션 흡수성,수성
무릎밴드 (Knee Band),9,무릎밴드 ,드 
수술용글러브(MEDI-GRIP) 멸균,9,수술용글러브 멸균,멸균
디앤비 손목랩 (Wrist Support),9,디앤비 손목랩 ,랩 
일회용주사기 (D/Syringe),8,일회용주사기 ,기 
다이아벡스정(염산메트폴민),8,다이아벡스정,스정
스마트 젯 인슐린 주사기,8,스마트 젯 인슐린 주사기,사기
큐로켈정,8,큐로켈정,켈정
병동용장갑(Examination Glove)-SKINNY,8,병동용장갑,장갑
리셀톤캡슐,8,리셀톤캡슐,캡슐
수은혈압계커프 (Cuff),8,수은혈압계커프 ,프 
켈리헤모스타트포셉(ROCHESTER-PEAN),8,켈리헤모스타트포셉,포셉
병,8,병,병
덴탈글러브(3M Glove),8,덴탈글러브,러브
바이오오일,8,바이오오일,오일
PE 시럽병(말랑이),8, 시럽병,럽병
NEW손가락부목보호대(케이스포함),8,손가락부목보호대,호대
토라정,8,토라정,라정
픽싱롤(부직반창고),8,픽싱롤,싱롤
메딕스(붕대와반창고 결합),8,메딕스,딕스
디앤비 무릎보호대,8,디앤비 무릎보호대,호대
공포(초록),8,공포,공포
메디폼 (Medifoam),8,메디폼 ,폼 
나비침(D/ScalpNeedle)-DEHPFree,8,나비침,비침
개부밧드 (Instrument Tray),8,개부밧드 ,드 
알루미늄목발(Aluminium crutch),8,알루미늄목발,목발
필러캐뉼라(FilerCanula),8,필러캐뉼라,뉼라
나이론봉합사 (ETHILON),8,나이론봉합사 ,사 
칼라석고신발,8,칼라석고신발,신발
성광 과산화수소수,8,성광 과산화수소수,소수
라코정,8,라코정,코정
일양하이트린정(염산테라조신),8,일양하이트린정,린정
듀록정,8,듀록정,록정
의료용견제봉합사 (White-Silk),8,의료용견제봉합사 ,사 
자스퍼 압박스타킹(발끝트임),8,자스퍼 압박스타킹,타킹
비디 울트라파인Ⅱ 인슐린주사기,8,비디 울트라파인 인슐린주사기,사기
"초음파젤리(SONO JELLY, ECG)",8,초음파젤리,젤리
대한 접은거즈,8,대한 접은거즈,거즈
소독봉투(E.O gas pack),8,소독봉투,봉투
아토르바스타틴정(병),8,아토르바스타틴정,틴정
듀카브정,8,듀카브정,브정
멸균글러브(Surgical Gloves),8,멸균글러브,러브
동방-일회용침(파이프),8,동방일회용침,용침
주사기 (23G),8,주사기 ,기 
바이크릴(Vicryl) ,8,바이크릴 ,릴 
정맥카테타(IVCatheter),8,정맥카테타,테타
봉합침 (Suture Needles) - 내복용환침,8,봉합침   내복용환침,환침
수지부목 리필-말렛(MALLET)핑거 오픈형(리필),8,수지부목 리필말렛핑거 오픈형,픈형
핑거스프린트(개구리형),8,핑거스프린트,린트
[DR-W021] 손목보호대,8, 손목보호대,호대
트리도파정,8,트리도파정,파정
자나팜정(알프라졸람),8,자나팜정,팜정
실버셉트정,8,실버셉트정,트정
팔꿈치보호대 (Elbow Support),8,팔꿈치보호대 ,대 
종이반창고(Biopore)-마이크로포어,8,종이반창고마이크로포어,포어
스테리스트립 (Steri-Strip),7,스테리스트립 ,립 
모스키토 (Mosquito Forceps),7,모스키토 ,토 
드레싱카 (Dressing Cart)-PVC,7,드레싱카 ,카 
나비침(Scalp Needle / venofix a),7,나비침,비침
일회용밴드,7,일회용밴드,밴드
디앤비 발목보호대 (Ankle Support),7,디앤비 발목보호대 ,대 
[DR-W010] 손목보호대,7, 손목보호대,호대
클자핀정,7,클자핀정,핀정
반투명투약병 (PP),7,반투명투약병 ,병 
둘코락스에스장용정,7,둘코락스에스장용정,용정
산소마스크 (Oxygen Mask),7,산소마스크 ,크 
일회용 지방이식캐뉼라(Fat Graft Cannula),7,일회용 지방이식캐뉼라,뉼라
수술내의 - 여성용,7,수술내의  여성용,성용
알카모핫팩 (Alkamo Hot Pack),7,알카모핫팩 ,팩 
아이히알점안액,7,아이히알점안액,안액
석션카테타(프렌치) 라텍스 멸균,7,석션카테타 라텍스 멸균,멸균
블랙실크,7,블랙실크,실크
뽀로로 키즈밴드(표준형),7,뽀로로 키즈밴드,밴드
지방이식용 일회용 캐뉼라,7,지방이식용 일회용 캐뉼라,뉼라
내시경용 치아보호 마우스피스(Mouthpiece),7,내시경용 치아보호 마우스피스,피스
레모나산,7,레모나산,나산
3NS 근육테이프(테이핑요법 테이프),7, 근육테이프,이프
메젬바움 (Metzenbaum Scissor),7,메젬바움 ,움 
소독용에탄올(성광),7,소독용에탄올,탄올
[묶음상품]일회용주사기(Syringe)+한신일회용스왑100매,7,묶음상품일회용주사기한신일회용스왑매,왑매
성광포비딘(포비돈요오드액10%),7,성광포비딘,비딘
[묶음상품]인슐린주사기(Syringe)+한신일회용스왑100매,7,묶음상품인슐린주사기한신일회용스왑매,왑매
크래시드정,7,크래시드정,드정
무구핀셋(직),7,무구핀셋,핀셋
채혈용주사기(D/TubeSyringe),7,채혈용주사기,사기
투약병,7,투약병,약병
설압자 (Tongue Depressor),7,설압자 ,자 
리피칸정,7,리피칸정,칸정
팔꿈치밴드 (Elbow Band),7,팔꿈치밴드 ,드 
드레싱핀셋 (Dressing Forcep),7,드레싱핀셋 ,셋 
면반창고 (Cotton Plaster),7,면반창고 ,고 
손가락 샥크,7,손가락 샥크,샥크
봉합침 (Suture Needles) - 내장용환침,7,봉합침   내장용환침,환침
휴레스토정,7,휴레스토정,토정
네오드레싱(Neo Dressing) ,7,네오드레싱 ,싱 
아토목세틴캡슐,7,아토목세틴캡슐,캡슐
탑드레싱 키트(Top dressing Kit),7,탑드레싱 키트,키트
디앤비 무릎보호대 (Knee Support),7,디앤비 무릎보호대 ,대 
라베프라졸정,7,라베프라졸정,졸정
네오쓰레드 모노실,7,네오쓰레드 모노실,노실
코르셋 (Lumbar Support),7,코르셋 ,셋 
토우가드(칼라석고신발카바),7,토우가드,가드
디앤비 팔꿈치보호대 (Elbow Support),7,디앤비 팔꿈치보호대 ,대 
외과큐렛 (Volkmann Curette),7,외과큐렛 ,렛 
슈퍼윙스 키즈튼튼 비타민C플러스아연(복숭아맛),7,슈퍼윙스 키즈튼튼 비타민플러스아연,아연
파이콤파필름코팅정,7,파이콤파필름코팅정,팅정
에스올정,7,에스올정,올정
진찰의자_검정,7,진찰의자검정,검정
간섭파스폰지(물리치료실),7,간섭파스폰지,폰지
차광 투약병(PP),7,차광 투약병,약병
수술용장갑(Surgical Glove)-Ultra@Safe PF,6,수술용장갑 ,갑 
대한멸균생리식염수 (백),6,대한멸균생리식염수 ,수 
그린 태고액1%,6,그린 태고액,고액
피딩튜브(Feeding Tube)-PVC,6,피딩튜브,튜브
탈지면,6,탈지면,지면
연고칼,6,연고칼,고칼
듀오웰에이정(PTP),6,듀오웰에이정,이정
알레그라정,6,알레그라정,라정
카베진코와에스정,6,카베진코와에스정,스정
테가덤 (Tegaderm),6,테가덤 ,덤 
밴드골드 쿨 아쿠아 방수밴드,6,밴드골드 쿨 아쿠아 방수밴드,밴드
덴탈글러브(Samrock Glove),6,덴탈글러브,러브
오르필서방정,6,오르필서방정,방정
진맥톤정(은행엽엑스),6,진맥톤정,톤정
대웅 생강쌍화,6,대웅 생강쌍화,쌍화
로스토정,6,로스토정,토정
실리콘석션관 (Silicone Suction Tubing)-의료용,6,실리콘석션관 의료용,료용
센돔정,6,센돔정,돔정
뉴프람정,6,뉴프람정,람정
유구핀셋(직),6,유구핀셋,핀셋
일회용 주사침(Needl),6,일회용 주사침,사침
삼아아토크정(푸마르산포르모테롤),6,삼아아토크정,크정
큐팜정,6,큐팜정,팜정
네오메디서포트 무릎보호대,6,네오메디서포트 무릎보호대,호대
메티스보호대(Thumb Support),6,메티스보호대,호대
하이록신정,6,하이록신정,신정
붕대,6,붕대,붕대
사미온정(니세르골린),6,사미온정,온정
유한세프라딘캡슐,6,유한세프라딘캡슐,캡슐
딜테란서방캡슐(딜티아젬아시딕폴리머콤플렉스),6,딜테란서방캡슐,캡슐
그리메피드정(글리메피리드),6,그리메피드정,드정
나사라 키네시올로지테이프(옐로우),6,나사라 키네시올로지테이프,이프
상아이크린 치간칫솔,6,상아이크린 치간칫솔,칫솔
석고신발(Cast Shose),6,석고신발,신발
부스코판플러스정,6,부스코판플러스정,스정
빔스크정,6,빔스크정,크정
원터치환약병,6,원터치환약병,약병
폴리카테터,6,폴리카테터,테터
VOM_M (HA필러)_봄,6, 봄, 봄
케피람정(병),6,케피람정,람정
써큐록신정,6,써큐록신정,신정
라미프린정Ramipril,6,라미프린정,린정
네오면반창고Q(현대케미칼),6,네오면반창고,창고
아모잘탄큐정,6,아모잘탄큐정,큐정
티어린프리점안액,6,티어린프리점안액,안액
엄지손가락보호대 (Thumb Support),6,엄지손가락보호대 ,대 
참크린 치간칫솔Ⅰ자형,6,참크린 치간칫솔자형,자형
올메린정,6,올메린정,린정
세자르정,6,세자르정,르정
크레지정,6,크레지정,지정
누리그라정 (NEW),6,누리그라정 ,정 
타라부틴정(말레인산트리메부틴),6,타라부틴정,틴정
페미로살정,6,페미로살정,살정
중조,6,중조,중조
썸(엄지손가락)보호대 (Thumb Support),6,썸보호대 ,대 
한시스템 자가점착탄력밴드(코반),6,한시스템 자가점착탄력밴드,밴드
메티스보호대(손목브레이스),6,메티스보호대,호대
LP 무릎보호대 951 (KNEE SUPPORT),6, 무릎보호대  ,  
네오메디서포트 발목보호대,6,네오메디서포트 발목보호대,호대
병동용장갑(Examination Glove)-SKINNY카톤(500조),6,병동용장갑카톤,카톤
렉사스타정,6,렉사스타정,타정
주사기 (21G),6,주사기 ,기 
연고곽/연고각(노랑),6,연고곽연고각,고각
국제실업 탈지면,6,국제실업 탈지면,지면
뉴로카바-피지캡슐,6,뉴로카바피지캡슐,캡슐
"디앤비 무릎보호대 (Knee Support, MCL)",6,디앤비 무릎보호대 ,대 
콩브럭정,6,콩브럭정,럭정
써지피트(Surgifit ),6,써지피트,피트
 멸균소독비닐 (Sterilization Roll),6, 멸균소독비닐 ,닐 
수술용장갑(Surgical Glove) Powder free,6,수술용장갑  ,  
래리스정,6,래리스정,스정
수액세트,6,수액세트,세트
발사핀정,6,발사핀정,핀정
숯첨가 이편한 치간칫솔,6,숯첨가 이편한 치간칫솔,칫솔
리스펜정(리스페리돈),6,리스펜정,펜정
디앤비 엄지손가락보호대 (Thumb Support),6,디앤비 엄지손가락보호대 ,대 
멸균 글러브(SMART Latex Powderfree) ,6,멸균 글러브 ,브 
코자정(로자탄칼륨),6,코자정,자정
디앤비 실리콘 발가락 교정기(무지외반증 교정기),6,디앤비 실리콘 발가락 교정기,정기
로바탄정,6,로바탄정,탄정
대산 멸균거즈 3호,6,대산 멸균거즈 호, 호
뮤테란캡슐(아세틸시스테인),6,뮤테란캡슐,캡슐
동방일회용침(파이프),6,동방일회용침,용침
수술용장갑(SurgicalGlove)-GAMMEX,6,수술용장갑,장갑
에프람정(병),6,에프람정,람정
수술용장갑(Surgical Glove)-SURGMAX,6,수술용장갑,장갑
명문아트로다캡슐(디아세레인),6,명문아트로다캡슐,캡슐
soft-tips 고급화장면봉,6, 고급화장면봉,면봉
일성이솝틴정,6,일성이솝틴정,틴정
텔로스톱정,6,텔로스톱정,톱정
드레싱 카 / 2단,6,드레싱 카  단, 단
쿠티아핀정,6,쿠티아핀정,핀정
테올란비서방캡슐(테오필린),6,테올란비서방캡슐,캡슐
태명 탄력붕대,6,태명 탄력붕대,붕대
봉합침 (Suture Needles) - 피부용각침,6,봉합침   피부용각침,각침
코닐정,6,코닐정,닐정
카마제핀씨알정(카르바마제핀),6,카마제핀씨알정,알정
스테리스트립 (Steri-Strip-Elastic),6,스테리스트립 ,립 
마킹펜 (Surgical Skin Marker),6,마킹펜 ,펜 
"에이덤 플러스(1,2차 드레싱/멸균/방수)",6,에이덤 플러스,러스
연고곽/연고각(분홍),6,연고곽연고각,고각
듀오웰정,6,듀오웰정,웰정
맥스터 라텍스장갑(진료용),6,맥스터 라텍스장갑,장갑
동아가바펜틴,6,동아가바펜틴,펜틴
롤스프린트 (FREE LENGTH SPLINT),6,롤스프린트 ,트 
씬지록신정,6,씬지록신정,신정
필로겐정,6,필로겐정,겐정
허리보호대(Elastic Waist/Low Back Support),6,허리보호대,호대
일회용필터주사기/ 분리형(FilterSyringe),6,일회용필터주사기 분리형,리형
I-GAL(후두경마스크),6,,
동방일회용- 장침(비만침),6,동방일회용 장침,장침
원스텝스프린트(Splint),6,원스텝스프린트,린트
발목밴드 (Ankle Band),6,발목밴드 ,드 
대일 빠삐방 700,6,대일 빠삐방 ,방 
대웅로수바스타틴정,6,대웅로수바스타틴정,틴정
미즈덴트 치간칫솔,6,미즈덴트 치간칫솔,칫솔
네오메디서포트 팔꿈치보호대,6,네오메디서포트 팔꿈치보호대,호대
피엠에스쿠에티아핀정,6,피엠에스쿠에티아핀정,핀정
타미린서방정,6,타미린서방정,방정
로바이드정,6,로바이드정,드정
이지레보정,6,이지레보정,보정
수술용장갑(Surgical Glove)-GAMMEX PF,6,수술용장갑 ,갑 
폴리프로필렌 (Polypropylene),6,폴리프로필렌 ,렌 
일회용마스크(Dental Mask),6,일회용마스크,스크
홈세이프 파인펜니들(인슐린펜니들),6,홈세이프 파인펜니들,니들
팻트 투명투약병,6,팻트 투명투약병,약병
데파스정,6,데파스정,스정
케토톱플라스타,6,케토톱플라스타,스타
유발유봉,6,유발유봉,유봉
근육내자극용소독침(IMNS NEEDLE),6,근육내자극용소독침,독침
레보펙신정(레보플록사신),6,레보펙신정,신정
손소독제,6,손소독제,독제
셀브렉캡슐,6,셀브렉캡슐,캡슐
로벨리토정,6,로벨리토정,토정
프레가바캡슐,6,프레가바캡슐,캡슐
대화와르파린나트륨정,6,대화와르파린나트륨정,륨정
서일 면 반창고,6,서일 면 반창고,창고
나이팅게일란셋(NightingaleLancets),6,나이팅게일란셋,란셋
그린포비돈요오드액,6,그린포비돈요오드액,드액
펜로즈드레인튜브 (Penrose Drain Tube) - Silicone,6,펜로즈드레인튜브   ,  
아스피린장용정(병),6,아스피린장용정,용정
카덴자정,6,카덴자정,자정
압박스타킹-무릎형(발끝 트임),6,압박스타킹무릎형,릎형
딜라트렌SR캡슐(병),6,딜라트렌캡슐,캡슐
투명 밴드랜드 방수밴드,6,투명 밴드랜드 방수밴드,밴드
이지폼,6,이지폼,지폼
제일타리비드정(오플록사신),6,제일타리비드정,드정
스프린트(PRE-CUT)(화이바),6,스프린트,린트
뉴바스트정,6,뉴바스트정,트정
포리카테타(FOLEY CATHETER),6,포리카테타,테타
하이잘탄정,6,하이잘탄정,탄정
큐란정(염산라니티딘),6,큐란정,란정
마우스피스(엔도피스),6,마우스피스,피스
대웅피오글리타존정,6,대웅피오글리타존정,존정
트리레보정,6,트리레보정,보정
리카프리캡슐,6,리카프리캡슐,캡슐
디아릴정(글리메피리드),6,디아릴정,릴정
수술용장갑(Surgical Glove)-Conform,6,수술용장갑,장갑
[국산낱개멸균포장]인슐린주사기(Insulin Syringe),5,국산낱개멸균포장인슐린주사기,사기
밀베마이신정,5,밀베마이신정,신정
건치 스무스픽케이스,5,건치 스무스픽케이스,이스
트윈하이정,5,트윈하이정,이정
타월핀셋 (Towel Forceps),5,타월핀셋 ,셋 
석션튜브 FRAZIER SUCTION TUBE ,5,석션튜브    ,  
프레가스타캡슐,5,프레가스타캡슐,캡슐
성광 원터치 바퀴싹쓸이,5,성광 원터치 바퀴싹쓸이,쓸이
렉사큐어정(PTP),5,렉사큐어정,어정
